timestamp,frame,person_id,line_y,centroid_x,centroid_y,zone,direction,running_count,tier
2026-06-03T06:04:55.691015+00:00,0,1,240,81,275,front_entrance,,0,green
2026-06-03T06:04:55.696066+00:00,1,1,240,133,278,front_entrance,,0,green
2026-06-03T06:04:55.707942+00:00,2,1,240,170,281,front_entrance,,0,green
2026-06-03T06:04:55.712540+00:00,3,1,240,210,287,front_entrance,,0,green
2026-06-03T06:04:55.723252+00:00,4,1,240,249,295,mid_cabin,,0,green
2026-06-03T06:04:55.754872+00:00,5,1,240,286,303,mid_cabin,,0,green
2026-06-03T06:04:55.782452+00:00,6,1,240,324,295,mid_cabin,,0,green
2026-06-03T06:04:55.813379+00:00,7,1,240,361,287,mid_cabin,,0,green
2026-06-03T06:04:55.872708+00:00,8,1,240,399,280,mid_cabin,,0,green
2026-06-03T06:04:55.893275+00:00,9,1,240,436,273,rear_cabin,,0,green
2026-06-03T06:04:55.932000+00:00,10,1,240,472,265,rear_cabin,,0,green
2026-06-03T06:04:55.963795+00:00,11,1,240,509,257,rear_cabin,,0,green
2026-06-03T06:04:55.991619+00:00,12,1,240,546,249,rear_cabin,,0,green
2026-06-03T06:04:56.023305+00:00,13,1,240,582,257,rear_cabin,,0,green
2026-06-03T06:04:56.056389+00:00,14,1,240,619,265,rear_cabin,,0,green
2026-06-03T06:04:56.098390+00:00,15,1,240,16,273,front_entrance,,0,green
2026-06-03T06:04:56.123402+00:00,16,1,240,52,280,front_entrance,,0,green
2026-06-03T06:04:56.147081+00:00,17,1,240,89,287,front_entrance,,0,green
2026-06-03T06:04:56.179701+00:00,18,1,240,125,293,front_entrance,,0,green
2026-06-03T06:04:56.213557+00:00,19,1,240,162,299,front_entrance,,0,green
2026-06-03T06:04:56.260446+00:00,20,1,240,198,304,front_entrance,,0,green
2026-06-03T06:04:56.294251+00:00,21,1,240,235,309,front_entrance,,0,green
2026-06-03T06:04:56.326792+00:00,22,1,240,272,314,mid_cabin,,0,green
2026-06-03T06:04:56.362734+00:00,23,1,240,308,318,mid_cabin,,0,green
2026-06-03T06:04:56.393669+00:00,24,1,240,345,322,mid_cabin,,0,green
2026-06-03T06:04:56.424599+00:00,25,1,240,382,326,mid_cabin,,0,green
2026-06-03T06:04:56.460566+00:00,26,1,240,419,330,rear_cabin,,0,green
2026-06-03T06:04:56.485960+00:00,27,1,240,456,334,rear_cabin,,0,green
2026-06-03T06:04:56.516005+00:00,28,1,240,493,199,rear_cabin,,0,green
2026-06-03T06:04:56.550114+00:00,29,1,240,530,203,rear_cabin,,0,green
2026-06-03T06:04:56.582768+00:00,30,1,240,567,207,rear_cabin,,0,green
2026-06-03T06:04:56.614296+00:00,31,1,240,604,211,rear_cabin,,0,green
2026-06-03T06:04:56.650980+00:00,32,1,240,1,215,front_entrance,,0,green
2026-06-03T06:04:56.696168+00:00,33,1,240,38,219,front_entrance,,0,green
2026-06-03T06:04:56.728423+00:00,34,1,240,75,223,front_entrance,,0,green
2026-06-03T06:04:56.761631+00:00,35,1,240,112,227,front_entrance,,0,green
2026-06-03T06:04:56.801654+00:00,36,1,240,149,231,front_entrance,,0,green
2026-06-03T06:04:56.822424+00:00,37,1,240,186,235,front_entrance,,0,green
2026-06-03T06:04:56.852381+00:00,38,1,240,223,239,front_entrance,,0,green
2026-06-03T06:04:56.881872+00:00,39,1,240,260,243,mid_cabin,alighting,0,green
2026-06-03T06:04:56.916431+00:00,40,1,240,297,247,mid_cabin,,0,green
2026-06-03T06:04:56.947469+00:00,41,1,240,334,251,mid_cabin,,0,green
2026-06-03T06:04:56.981947+00:00,42,1,240,371,255,mid_cabin,,0,green
2026-06-03T06:04:57.018786+00:00,43,1,240,408,259,rear_cabin,,0,green
